Title,Author,Genre,Year,Publisher,Summary
Ермак: Начало. Телохранитель. Личник [сборник litres],Игорь Валериев,Альтернативная история,2021,Литагент АСТ,"Сознание офицера спецназа с позывным «Ермак», прошедшего Афган, две чеченские кампании, несколько других конфликтов и загранкомандировок, после смерти переносится в 1888 год. Новое тело принадлежит четырнадцатилетнему сироте – будущему казаку Амурского войска. Теперь Ермаку надо найти своё место в новом мире. Что делать дальше, такой вопрос перед Ермаком не стоит. Он умеет защищать Родину, и не важно, как она называется – Российская Федерация, Советский Союз или Российская империя, но один в поле не воин. У героя есть боевой опыт грядущих времён, послезнание о драматических событиях будущей истории и желание избежать такой судьбы для Родины. А ещё казачата из родной станицы и методика обучения спецназа. Сможет ли он применить свои умения офицера XXI века, чтобы изменить события нового для себя мира? Делай что должно, и будь что будет. Время покажет…"
Попадос. Пенталогия(СИ),Неизвестный Автор,Боевая фантастика,2016,СИ,"  Продолжение приключений нашего героя на необъятных просторах Космоса... А начиналось всё банально, с рыбалки в горах, потом похищение космическими пиратами и совсем уж не заманчивая участь раба на рудниках... Но если не растерятся и не идти на поводу обстоятельств, при этом имея в запасе неслабый интеллект, то можно координально изменить положение вещей. Ведь намного интересней самому выбирать свой путь, особенно когда перед тобой открыта вся Вселенная... Продолжение приключений нашего героя на необъятных просторах Космоса... А начиналось всё банально, с рыбалки в горах, потом похищение космическими пиратами и совсем уж не заманчивая участь раба на рудниках... Но если не растерятся и не идти на поводу обстоятельств, при этом имея в запасе неслабый интеллект, то можно координально изменить положение вещей. Ведь намного интересней самому выбирать свой путь, особенно когда перед тобой открыта вся Вселенная...  "
Малыш Гури. Тетралогия (СИ),Юрий Николаевич Москаленко,Фэнтези,2016,СамИздат,"Как поведёт себя взрослый, состоявшийся человек в условиях нового, неведомого мира? Его чувства, страхи, желания? А если это мир магии и кровь льётся, как вино на пиру и цена человеческой жизни там стоимостью в грош? А если ещё учесть, что попал он туда в теле несмышлёного мальца? Как выживать ему в этом чужом и враждебном мире? Сумеет ли он воспользоваться шансом, который каждому даётся в жизни и доживёт ли он до него? Вот и постараемся ответить на всё это в нашей книге!"
"Цикл ""Унесённый ветром"". Компиляция. Романы 1-10",Николай Александрович Метельский,Боевая фантастика,2021,"Интернет издательство ""Vitovt""","Даже самый лучший план действует лишь до начала его осуществления. Эту мудрость в очередной раз ощутил на себе Максим Рудов (он же Сакурай Синдзи), распланировавший свою жизнь до совершеннолетия. Но вот счастливая случайность — и наш герой оказывается в центре набирающей ход горной лавины событий. Взаимоотношения с аристократами, проблемы с конкурентами, начинающаяся война с боссом одной из преступных гильдий… А еще школа, друзья и люди, зависящие от него. Уже сброшена маска обычного японского школьника, маска бойца ранга Ученик для все большего числа окружающих не в состоянии скрыть реальную (или почти реальную) силу героя, маска вора-виртуоза Токийского Карлика становится все более неудобной. И приходится прилагать все большие усилия для того, чтобы не слетела маска, прикрывающая лицо Патриарха.Но Макс не зря стал самым молодым ведьмаком ранга Абсолют. Да, ни один план не выдержал столкновения с реальностью, но цель осталась неизменной. Как и девиз ведьмаков: «Во Славу мою, во Имя мое».                                                                 Содержание: 1. Николай Александрович Метельский: Меняя маски 2. Николай Александрович Метельский: Теряя маски 3. Николай Александрович Метельский: Чужие маски 4. Николай Александрович Метельский: Удерживая маску 5. Николай Метельский: Срывая маски 6. Николай Метельский: Маска зверя 7. Николай Unknown: Николай Метельский. Осколки маски"" 8. Николай Александрович Метельский: Тень маски 9. Николай Александрович Метельский: Устав от масок 10. Николай Метельский: Книга десятая - Без масок                                                          "
Отрок. Внук сотника: Внук сотника. Бешеный лис. Покоренная сила [сборник],Евгений Сергеевич Красницкий,Альтернативная история,2019,"АСТ,Ленинград","XII век. Права человека, гуманное обращение с пленными, высший приоритет человеческой жизни… Все умещается в одном месте – ножнах, висящих на поясе победителя. Убей или убьют тебя. Как выжить в этих условиях тому, чье мировоззрение формировалось во второй половине XX столетия? Принять правила игры и идти по трупам? Не принимать? И быть убитым или стать рабом? Попытаться что-то изменить? Для этого все равно нужна сила. А если тебе еще нет четырнадцати, но жизнь спрашивает с тебя без скидок, как со взрослого, и то с одной, то с другой стороны грозит смерть? Если гибнут друзья, которых ты не смог защитить? Пока не набрал сил, пока великодушие – оружие сильного – не для тебя, стань хитрым, ловким и беспощадным, стань Бешеным Лисом."
Атаман. Гексалогия,Юрий Григорьевич Корчевский,Альтернативная история,2014,"ИД ""Ленинград""","Авария – и волею случая наш современник, врач Юрий Котлов переносится в XVI век, эпоху правления жестокого и могущественного Ивана Грозного. В борьбе за выживание ему приходится попробовать ремесло телохранителя, участвовать в обороне русской крепости от татар и самому штурмовать город княжества Литовского. Перенос во времени дал герою необычные способности, помогающие ему в борьбе с врагами."
Галкино счастье,Светлана Богдановна Шёпот,Альтернативная история,2021,СамИздат,"В тексте есть: попаданка, бытовое фэнтези, неунывающая героиня Другой мир? Столько нового и интересного! Лишние килограммы? Приятная округлость в нужных местах еще никого не портила! Темное прошлое? В каждой женщине должна быть загадка! Полуразвалившаяся таверна в наследство? Стартовые условия не идеальны, но хорошо уже то, что они есть! Галина Николаевна, попавшая в тело баронессы Висконсии дель Каруссо, даже не думала унывать. Не в ее правилах было опускать руки."
Сотник из будущего. Южный рубеж,Андрей Владимирович Булычев,Альтернативная история,2020,SelfPub,"Обережная сотня освобождает от ватаг разбойников большую часть земель Великого Новгорода. Торговые пути «из варяг в греки» скоро будут свободны. В Андреевском начинает работать воинская школа, где детей-сирот учат ратному искусству и множеству наук сам Сотник и его ветераны. Построены новые ремесленные мастерские, выпускающие прекрасные и востребованные изделия и лучшие образцы оружия. Сельское хозяйство строится на новый лад, выращивая новые для этого времени культуры и готовясь насытить закрома земляков. А с юга-запада Руси начинают угрожать нашествием усилившиеся и объединившиеся литвины. На Балтике нарастает противостояние между владычицей северных морей Данией и союзницей Новгорода Ганзой. Для отражения всех этих угроз сил сотни явно не хватает, и нужно создавать новую дружину, которая будет нести порубежную службу, разведку, а также сможет сломать и спутать планы многочисленных жестоких врагов Руси. Сотнику нужны верные сподвижники и собственное, хорошо обученное войско!"
Варвар: Воин Аттилы. Корона бургундов. Зов крови [сборник litres],Андрей Анатольевич Посняков,Альтернативная история,2020,Литагент АСТ,"Налог кровью – страшная дань, которой обложил покоренные племена готов и словен жестокий предводитель гуннов Аттила. Красивейшие девушки должны стать наложницами, юноши – воинами, кровавым мясом для римских мечей! Ничто и никто не смеет противиться коварному властелину, и под эти страшные жернова смерти внезапно попадает некий молодой человек, по имени Родион, шофер – по профессии. Отслужив в армии, он просто приехал на туристский слет, побежал ночное ориентирование… и прибежал – в далекое-далекое прошлое, где, неожиданно для себя, вдруг обрел друзей и родственников. И – вовсе не неожиданно – встретил свою любовь: Валькирию-деву из странных снов, что снились ему с самого детства. Хитры и коварны гунны, жесток их предводитель Аттила, и теперь нужно биться: за любимую девушку, за друзей, за себя. Биться, чтобы выйти победителем, ибо поражение означает смерть!"
Страна Арманьяк: Бастард. Рутьер. Дракон Золотого Руна [сборник litres],Александр Башибузук,Альтернативная история,2019,Литагент АСТ,"Что делать если тебя неожиданно забросило в пятнадцатый век? Наш современник, тренер по фехтованию, Александр Лемешев, волей случая оказывается в теле бастарда Жана д’Арманьяка, виконта де Лавардан и Рокебрен, внебрачного сына графа Жана V д’Арманьяка, одного из последних феодальных властителей божьей милостью. Вокруг дремучее Средневековье, бушуют междоусобные войны, инквизиция и эпидемии, отец убит, родовые земли захвачены, а по пятам идут ищейки короля Франции Луи XI по прозвищу Всемирный Паук. Лемешев понимает: для того чтобы выжить, надо принять то время, в котором ты оказался, таким какое оно есть. А значит, придется встретить опасности лицом к лицу и добыть себе славу единственно возможным способом: твердой рукой и клинком."
Путь одарённого. Крысолов. Книга первая. Часть первая [СИ litres],Юрий Николаевич Москаленко,Фэнтези,2020,СИ ЛитРес,Жертва обстоятельств. Потеря памяти от пережитого стресса. Возраст мальца и сплошная вереница беженцев. Выжить… любой ценой выжить. Мир магии. Меча и магии.
Гарри Поттер и философский камень,Джоан Кэтлин Роулинг,Детские приключения,2001,РОСМЭН-Издат,"Одиннадцатилетний мальчик-сирота Гарри Поттер живет в семье своей тетки и даже не подозревает, что он — настоящий волшебник. Но однажды прилетает сова с письмом для него, и жизнь Гарри Поттера изменяется навсегда. Он узнает, что зачислен в Школу Чародейства и Волшебства, выясняет правду о загадочной смерти своих родителей, а в результате ему удается раскрыть секрет философского камня."
Сотник из будущего. Начало пути,Андрей Владимирович Булычев,Альтернативная история,2020,SelfPub,"Отставной офицер МЧС Сотников Андрей нашёл во время рыбалки на Новгородчине древний Игнач Крест. Именно от него во время монгольского нашествия на Русь тумены хана Батыя, повернули резко прочь, не дойдя каких – то 200 вёрст до Великого Новгорода. Он переносится в начало 13 века, слившись сознанием и телом со своим древним предком, отставным сотником княжьей дозорной сотни и его тёзкой Андреем. За доблестную службу тот сотник жалован вотчиной, где в отстроенной усадьбе проживает вместе со своим младшим сыном Митей. У Андрея есть выбор, жить себе спокойно, зная, что орда до него не дойдёт, или же окунуться с головой в события лихого 13 века, помогая предкам отстаивать свою землю от ударов из степей с юго-востока, а так же от многочисленных западных врагов. В помощь же ему – знание истории, да слившиеся навыки офицера и боевого командира 21 и 13 века, а так же любовь и преданность своему единому отечеству Руси/России и укрепляющая дух Святая Православная вера!"
Ритка,Раиса Васильевна Белоглазова,Советская классическая проза,1978,Бурятское книжное издательство,"Повесть известной бурятской писательницы Раисы Белоглазовой рассказывает о трудной судьбе Ритки Грачевой. Пройдя через жизненные испытания, героиня повести обретает верных друзей и старших наставников. Повесть рассчитана на широкий круг читателей. Повесть рассчитана на широкий круг читателей."
"Невеста поневоле, или Обрученная проклятием [publisher: SelfPub.ru]",Ная Геярова,Фэнтези,2019,SelfPub,"Я готовилась к свадьбе. Все у меня уже было решено. Муж, дети, работа. Но одна встреча изменила мою жизнь. Я в другом мире. С проклятым даром, способным меня убить. Выбора нет, мне приказано участвовать в отборе. А для этого научиться быть магом. И двери академии для меня открыты, вот только не все этому рады. Как и появлению очередной невесты для принца. Но я не боюсь испытаний. Куда более страшно осознавать, что, будучи единственной носительницей темного дара, я могу стать опасной игрушкой в чужих руках."
Ошибка леди Эвелин [publisher: SelfPub],Делия Росси,Прочие приключения ,2020,Литагент Selfpub.ru (неискл),"Когда новая опекунша, герцогиня Авенау, забрала меня в Амвьен, моя жизнь полностью изменилась. Богатый дом, красивые наряды, балы и знакомства. Казалось бы, живи да радуйся. Но так ли бескорыстна доброта моей благодетельницы? И так ли безобидны ее намерения? Ответы на эти вопросы мне только предстоит узнать. А судьба уже готовит очередное испытание и встречу с человеком, от которого зависит не только мое будущее, но и моя жизнь."
Змеиный гаджет,Дарья Донцова,Иронический детектив,2019,Литагент 1 редакция (11),"Даша Васильева – мастер художественных неприятностей. Зашла она в кафе попить чаю и случайно увидела связку ключей на соседнем столике. По словам бармена, ключи забыли девушки, которые съели много вкусного и убежали, забыв не только ключи, но и оплатить заказ. Даша – добрая душа – попросила своего зятя дать объявление о находке в социальных сетях и при этом указать номер ее телефона. И тут началось! Посыпались звонки от очень странных людей, которые делали очень странные предложения. Один из них представился родственником растеряхи и предложил Васильевой встретиться в торговом центре. Зря Даша согласилась. Но кто же знал, что «родственник» поведет себя совершенно неадекватно и попытается отобрать у нее сумку! Ну и какая женщина отдаст свою новую сумочку? Дашенька вцепилась в ремешок, начала кричать, грабитель дал деру. А теперь представьте, что этот тип станет клиентом детективного агентства полковника Дегтярева. И Александр Михайлович с Дашей будут землю рыть, чтобы выяснить главную тайну его жизни!"
Другая правда. Том 1,Александра Маринина,Детектив,2019,Эксмо,"50-й, юбилейный роман Александры Марининой. Впервые Анастасия Каменская изучает старое уголовное дело по реальному преступлению. Осужденный по нему до сих пор отбывает наказание в исправительном учреждении. С детства мы привыкли верить, что правда – одна. Она?– как белый камешек в куче черного щебня. Достаточно все перебрать, и обязательно ее найдешь – единственную, неоспоримую, безусловную правду… Но так ли это? Когда-то давно в московской коммуналке совершено жестокое тройное убийство родителей и ребенка. Подозреваемый сам явился с повинной. Его задержали, состоялось следствие и суд. По прошествии двадцати лет старое уголовное дело попадает в руки легендарного оперативника в отставке Анастасии Каменской и молодого журналиста Петра Кравченко. Парень считает, что осужденного подставили, и стремится вывести следователей на чистую воду. Тут-то и выясняется, что каждый в этой истории движим своей правдой, порождающей, в свою очередь, тысячи видов лжи…"
Хрупкое равновесие. Книга 1 [litres],Ана Шерри,Остросюжетные любовные романы,2020,Литагент 1 редакция (16),"Диана Оливер работает парамедиком на «скорой». Днем она спасает людям жизни, а по вечерам ходит с друзьями по барам или стреляет в тире. Диана была уверена в своем счастливом и благополучном будущем, пока судьба не свела ее с главой итальянской мафии. Девушка еще не догадывается, но совсем скоро ей предстоит стать частью криминального мира, ведь ее талант попадать точно в цель не остался незамеченным. Стефано Висконти – глава клана «Morte Nera». Он привык все держать под контролем. Каждая его сделка – успешная, каждый враг – заклятый. Но для проведения крупных операций ему нужен снайпер, человек с идеальной меткостью, подчиняющийся любым его приказам, преданный ему. И на эту роль идеально подходит хрупкая девушка-парамедик, способная справиться не только с собственными чувствами, но и с любым оружием…"
